time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.38254e-06	4837.87
1	8.38254e-06	1.8188e-05	4837.87
2	1.8188e-05	2.9658e-05	1587.2
3	2.9658e-05	4.3075e-05	1553.38
4	4.3075e-05	5.87695e-05	1449.64
5	5.87695e-05	7.71282e-05	1328.41
6	7.71282e-05	9.86032e-05	1234.4
7	9.86032e-05	0.000123724	1213.15
8	0.000123724	0.000153108	1274.95
9	0.000153108	0.000187481	1394.55
10	0.000187481	0.000227688	1594.68
11	0.000227688	0.000274721	1859.6
12	0.000274721	0.000329737	2140.97
13	0.000329737	0.000394093	2393.03
14	0.000394093	0.000469373	2589.16
15	0.000469373	0.000557431	2708.4
16	0.000557431	0.000660438	2746.57
17	0.000660438	0.000780929	2719.97
18	0.000780929	0.000921875	2626.36
19	0.000921875	0.00108675	2421.45
20	0.00108675	0.0012796	2068.25
21	0.0012796	0.0015052	1643.13
22	0.0015052	0.00176909	1297.91
23	0.00176909	0.00207777	1111.63
24	0.00207777	0.00243886	1070.09
25	0.00243886	0.00286124	1122.82
26	0.00286124	0.00335531	1216.67
27	0.00335531	0.00393326	1259.8
28	0.00393326	0.00460931	1259.8
29	0.00460931	0.00540012	801.669
30	0.00540012	0.00632518	801.669
31	0.00632518	inf	801.669
