time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.15838e-06	7064.44
1	8.15838e-06	1.77016e-05	7064.44
2	1.77016e-05	2.88649e-05	4281.3
3	2.88649e-05	4.19231e-05	2994.25
4	4.19231e-05	5.71979e-05	2002.23
5	5.71979e-05	7.50656e-05	1547.95
6	7.50656e-05	9.59664e-05	1378.64
7	9.59664e-05	0.000120415	1275.27
8	0.000120415	0.000149014	1211.34
9	0.000149014	0.000182467	1262.52
10	0.000182467	0.0002216	1448.26
11	0.0002216	0.000267374	1722.08
12	0.000267374	0.00032092	2032.78
13	0.00032092	0.000383554	2327.34
14	0.000383554	0.000456821	2545.27
15	0.000456821	0.000542524	2667.22
16	0.000542524	0.000642776	2708.71
17	0.000642776	0.000760046	2679.5
18	0.000760046	0.000897222	2583.48
19	0.000897222	0.00105768	2404.88
20	0.00105768	0.00124538	2114.86
21	0.00124538	0.00146495	1727.64
22	0.00146495	0.00172178	1352.51
23	0.00172178	0.00202221	1111.75
24	0.00202221	0.00237364	1033.69
25	0.00237364	0.00278472	1084.15
26	0.00278472	0.00326558	1236.89
27	0.00326558	0.00382808	2131.24
28	0.00382808	0.00448605	2131.24
29	0.00448605	0.00525571	136.203
30	0.00525571	0.00615603	136.203
31	0.00615603	inf	136.203
