time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.68485e-06	8968.62
1	4.68485e-06	1.01649e-05	8968.62
2	1.01649e-05	1.65753e-05	16086.6
3	1.65753e-05	2.40738e-05	21810.7
4	2.40738e-05	3.28452e-05	17085
5	3.28452e-05	4.31055e-05	10362.7
6	4.31055e-05	5.51075e-05	5697.98
7	5.51075e-05	6.91468e-05	3253.41
8	6.91468e-05	8.55693e-05	2169.19
9	8.55693e-05	0.00010478	1676.02
10	0.00010478	0.000127251	1443.45
11	0.000127251	0.000153536	1373.79
12	0.000153536	0.000184284	1426.85
13	0.000184284	0.000220251	1573.25
14	0.000220251	0.000262323	1790.45
15	0.000262323	0.000311538	2036.38
16	0.000311538	0.000369106	2259.7
17	0.000369106	0.000436447	2438.15
18	0.000436447	0.000515218	2575.89
19	0.000515218	0.000607361	2675.63
20	0.000607361	0.000715146	2724.02
21	0.000715146	0.000841226	2693
22	0.000841226	0.000988709	2547.05
23	0.000988709	0.00116123	2251.84
24	0.00116123	0.00136303	1848.55
25	0.00136303	0.00159909	1479.6
26	0.00159909	0.00187522	1278.69
27	0.00187522	0.00219822	1365.95
28	0.00219822	0.00257606	1365.95
29	0.00257606	0.00301803	1033.35
30	0.00301803	0.00353502	1033.35
31	0.00353502	inf	1033.35
