time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43474e-06	3561.91
1	5.43474e-06	1.1792e-05	3561.91
2	1.1792e-05	1.92285e-05	16112.7
3	1.92285e-05	2.79273e-05	16805.3
4	2.79273e-05	3.81027e-05	11254.1
5	3.81027e-05	5.00053e-05	6932.05
6	5.00053e-05	6.39285e-05	4215.71
7	6.39285e-05	8.02151e-05	2681.46
8	8.02151e-05	9.92663e-05	1897.22
9	9.92663e-05	0.000121552	1529.81
10	0.000121552	0.00014762	1394.63
11	0.00014762	0.000178113	1404.69
12	0.000178113	0.000213782	1535.33
13	0.000213782	0.000255506	1771.13
14	0.000255506	0.000304313	2053.32
15	0.000304313	0.000361405	2308.78
16	0.000361405	0.000428189	2509.33
17	0.000428189	0.000506308	2654.36
18	0.000506308	0.000597689	2731.9
19	0.000597689	0.000704581	2737.8
20	0.000704581	0.000829618	2681.28
21	0.000829618	0.000975881	2544.81
22	0.000975881	0.00114697	2281.02
23	0.00114697	0.0013471	1897.55
24	0.0013471	0.00158121	1509.43
25	0.00158121	0.00185506	1243.7
26	0.00185506	0.00217539	1153.53
27	0.00217539	0.00255009	1265.26
28	0.00255009	0.0029884	1265.26
29	0.0029884	0.00350112	1654.58
30	0.00350112	0.00410087	1654.58
31	0.00410087	inf	1654.58
