time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43474e-06	3587.8
1	5.43474e-06	1.1792e-05	3587.8
2	1.1792e-05	1.92285e-05	15934.3
3	1.92285e-05	2.79273e-05	16888.2
4	2.79273e-05	3.81027e-05	11341.8
5	3.81027e-05	5.00053e-05	6926.87
6	5.00053e-05	6.39285e-05	4186.58
7	6.39285e-05	8.02151e-05	2666.03
8	8.02151e-05	9.92663e-05	1892.95
9	9.92663e-05	0.000121552	1528.25
10	0.000121552	0.00014762	1391.93
11	0.00014762	0.000178113	1401.54
12	0.000178113	0.000213782	1532.32
13	0.000213782	0.000255506	1768.92
14	0.000255506	0.000304313	2051.45
15	0.000304313	0.000361405	2305.33
16	0.000361405	0.000428189	2503.61
17	0.000428189	0.000506308	2649.55
18	0.000506308	0.000597689	2736.82
19	0.000597689	0.000704581	2760.92
20	0.000704581	0.000829619	2714.78
21	0.000829619	0.000975881	2563.12
22	0.000975881	0.00114697	2264.24
23	0.00114697	0.0013471	1854.71
24	0.0013471	0.00158121	1459.11
25	0.00158121	0.00185506	1191.39
26	0.00185506	0.00217539	1093.56
27	0.00217539	0.00255009	1194.36
28	0.00255009	0.0029884	1194.36
29	0.0029884	0.00350112	2021.16
30	0.00350112	0.00410087	2021.16
31	0.00410087	inf	2021.16
