time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.25356e-06	6006.13
1	6.25356e-06	1.35687e-05	6006.13
2	1.35687e-05	2.21255e-05	8174.09
3	2.21255e-05	3.21348e-05	9421.62
4	3.21348e-05	4.38433e-05	6767.36
5	4.38433e-05	5.75392e-05	4234.62
6	5.75392e-05	7.35601e-05	2584.01
7	7.35601e-05	9.23004e-05	1853.16
8	9.23004e-05	0.000114222	1539.97
9	0.000114222	0.000139865	1416.48
10	0.000139865	0.00016986	1435.71
11	0.00016986	0.000204948	1570.86
12	0.000204948	0.000245991	1791.15
13	0.000245991	0.000294002	2055.56
14	0.000294002	0.000350162	2311.1
15	0.000350162	0.000415855	2508.24
16	0.000415855	0.0004927	2628.93
17	0.0004927	0.00058259	2686.26
18	0.00058259	0.000687738	2703.97
19	0.000687738	0.000810735	2675.89
20	0.000810735	0.000954611	2554.54
21	0.000954611	0.00112291	2303.52
22	0.00112291	0.00131978	1941.22
23	0.00131978	0.00155006	1563.49
24	0.00155006	0.00181944	1283.06
25	0.00181944	0.00213454	1150.09
26	0.00213454	0.00250313	1152.98
27	0.00250313	0.00293429	1252.11
28	0.00293429	0.00343864	1252.11
29	0.00343864	0.00402861	1624.05
30	0.00402861	0.00471872	1624.05
31	0.00471872	inf	1624.05
