time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.62881e-06	4479.12
1	5.62881e-06	1.22131e-05	4479.12
2	1.22131e-05	1.99151e-05	11405.5
3	1.99151e-05	2.89245e-05	13167.7
4	2.89245e-05	3.94632e-05	10590.5
5	3.94632e-05	5.17909e-05	6447.15
6	5.17909e-05	6.62112e-05	3528.47
7	6.62112e-05	8.30794e-05	2189.78
8	8.30794e-05	0.000102811	1693.42
9	0.000102811	0.000125892	1531.56
10	0.000125892	0.000152891	1486.11
11	0.000152891	0.000184473	1511.24
12	0.000184473	0.000221416	1628.87
13	0.000221416	0.00026463	1838.29
14	0.00026463	0.00031518	2095.92
15	0.00031518	0.00037431	2337.82
16	0.00037431	0.000443478	2530.09
17	0.000443478	0.000524387	2663.96
18	0.000524387	0.000619031	2735.39
19	0.000619031	0.00072974	2749.49
20	0.00072974	0.000859242	2694.96
21	0.000859242	0.00101073	2524.22
22	0.00101073	0.00118793	2192.22
23	0.00118793	0.00139521	1747.25
24	0.00139521	0.00163767	1352.29
25	0.00163767	0.00192129	1133.27
26	0.00192129	0.00225306	1091.5
27	0.00225306	0.00264115	1230.57
28	0.00264115	0.00309511	1230.57
29	0.00309511	0.00362614	2385.53
30	0.00362614	0.0042473	2385.53
31	0.0042473	inf	2385.53
