time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.7311e-06	4853.31
1	7.7311e-06	1.67746e-05	4853.31
2	1.67746e-05	2.73531e-05	3211.28
3	2.73531e-05	3.97274e-05	3858.17
4	3.97274e-05	5.42023e-05	2686.17
5	5.42023e-05	7.11342e-05	1891.93
6	7.11342e-05	9.09403e-05	1525.24
7	9.09403e-05	0.000114109	1402.23
8	0.000114109	0.00014121	1383.97
9	0.00014121	0.000172911	1434.89
10	0.000172911	0.000209994	1567.99
11	0.000209994	0.000253371	1800.09
12	0.000253371	0.000304112	2094.62
13	0.000304112	0.000363466	2375
14	0.000363466	0.000432896	2587.17
15	0.000432896	0.000514111	2714.53
16	0.000514111	0.000609112	2757.73
17	0.000609112	0.00072024	2729.85
18	0.00072024	0.000850232	2642.17
19	0.000850232	0.00100229	2475.44
20	0.00100229	0.00118016	2188.67
21	0.00118016	0.00138822	1808.86
22	0.00138822	0.0016316	1449.63
23	0.0016316	0.0019163	1210.8
24	0.0019163	0.00224932	1126.51
25	0.00224932	0.00263888	1175.25
26	0.00263888	0.00309456	1296.23
27	0.00309456	0.00362759	1343.61
28	0.00362759	0.0042511	1343.61
29	0.0042511	0.00498046	922.641
30	0.00498046	0.00583362	922.641
31	0.00583362	inf	922.641
