time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.6288e-06	4479.91
1	5.6288e-06	1.22131e-05	4479.91
2	1.22131e-05	1.9915e-05	11660.1
3	1.9915e-05	2.89244e-05	13324.9
4	2.89244e-05	3.94631e-05	10647.3
5	3.94631e-05	5.17908e-05	6482.83
6	5.17908e-05	6.62111e-05	3541.45
7	6.62111e-05	8.30792e-05	2193.25
8	8.30792e-05	0.000102811	1692.96
9	0.000102811	0.000125892	1529.32
10	0.000125892	0.00015289	1485.07
11	0.00015289	0.000184472	1513.92
12	0.000184472	0.000221415	1634.94
13	0.000221415	0.000264629	1844.85
14	0.000264629	0.000315179	2099.69
15	0.000315179	0.000374309	2336.47
16	0.000374309	0.000443477	2524.25
17	0.000443477	0.000524386	2659.18
18	0.000524386	0.00061903	2736.59
19	0.00061903	0.000729739	2754.3
20	0.000729739	0.00085924	2701.94
21	0.00085924	0.00101073	2533.27
22	0.00101073	0.00118792	2199.35
23	0.00118792	0.0013952	1751.34
24	0.0013952	0.00163767	1350.69
25	0.00163767	0.00192129	1120.02
26	0.00192129	0.00225306	1062.65
27	0.00225306	0.00264114	1205.31
28	0.00264114	0.00309511	1205.31
29	0.00309511	0.00362613	2485.58
30	0.00362613	0.00424729	2485.58
31	0.00424729	inf	2485.58
