time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.05725e-06	5213.63
1	8.05725e-06	1.74822e-05	5213.63
2	1.74822e-05	2.85071e-05	2156.47
3	2.85071e-05	4.14034e-05	2255.14
4	4.14034e-05	5.64889e-05	1898.68
5	5.64889e-05	7.41351e-05	1481.95
6	7.41351e-05	9.47768e-05	1350.08
7	9.47768e-05	0.000118922	1331.25
8	0.000118922	0.000147167	1339.02
9	0.000147167	0.000180206	1433.97
10	0.000180206	0.000218853	1628.62
11	0.000218853	0.00026406	1886.62
12	0.00026406	0.000316942	2173.64
13	0.000316942	0.0003788	2445.17
14	0.0003788	0.000451158	2648.93
15	0.000451158	0.000535799	2752.76
16	0.000535799	0.000634809	2765.68
17	0.000634809	0.000750625	2716.35
18	0.000750625	0.0008861	2617.2
19	0.0008861	0.00104457	2432.11
20	0.00104457	0.00122995	2104.12
21	0.00122995	0.00144679	1692.79
22	0.00144679	0.00170044	1351.96
23	0.00170044	0.00199714	1161.9
24	0.00199714	0.00234421	1119.11
25	0.00234421	0.0027502	1191.81
26	0.0027502	0.00322511	1319.23
27	0.00322511	0.00378062	1386.14
28	0.00378062	0.00443044	1386.14
29	0.00443044	0.00519057	939.326
30	0.00519057	0.00607972	939.326
31	0.00607972	inf	939.326
