time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.68482e-06	8817.97
1	4.68482e-06	1.01649e-05	8817.97
2	1.01649e-05	1.65752e-05	16718.8
3	1.65752e-05	2.40737e-05	21023.8
4	2.40737e-05	3.2845e-05	16770.3
5	3.2845e-05	4.31053e-05	10490.4
6	4.31053e-05	5.51072e-05	5774.24
7	5.51072e-05	6.91465e-05	3271.52
8	6.91465e-05	8.55689e-05	2171.58
9	8.55689e-05	0.000104779	1678.23
10	0.000104779	0.00012725	1445.3
11	0.00012725	0.000153536	1374.37
12	0.000153536	0.000184283	1425.47
13	0.000184283	0.00022025	1571.04
14	0.00022025	0.000262322	1788.02
15	0.000262322	0.000311536	2032.22
16	0.000311536	0.000369104	2252.2
17	0.000369104	0.000436445	2430.76
18	0.000436445	0.000515216	2577.98
19	0.000515216	0.000607358	2694.27
20	0.000607358	0.000715142	2756.62
21	0.000715142	0.000841223	2727.82
22	0.000841223	0.000988705	2570.18
23	0.000988705	0.00116122	2256.65
24	0.00116122	0.00136302	1830.23
25	0.00136302	0.00159908	1425.83
26	0.00159908	0.00187521	1175.72
27	0.00187521	0.00219821	1131.41
28	0.00219821	0.00257604	1131.41
29	0.00257604	0.00301801	1861.4
30	0.00301801	0.00353501	1861.4
31	0.00353501	inf	1861.4
