time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.62917e-06	4403.12
1	5.62917e-06	1.22139e-05	4403.12
2	1.22139e-05	1.99164e-05	11834.1
3	1.99164e-05	2.89263e-05	13235
4	2.89263e-05	3.94657e-05	10578.5
5	3.94657e-05	5.17942e-05	6475.11
6	5.17942e-05	6.62155e-05	3532.65
7	6.62155e-05	8.30847e-05	2198.14
8	8.30847e-05	0.000102817	1701.97
9	0.000102817	0.0001259	1532.99
10	0.0001259	0.000152901	1485.98
11	0.000152901	0.000184485	1515.68
12	0.000184485	0.00022143	1635.07
13	0.00022143	0.000264647	1841.52
14	0.000264647	0.0003152	2095.51
15	0.0003152	0.000374334	2334.55
16	0.000374334	0.000443507	2522.95
17	0.000443507	0.000524421	2652.68
18	0.000524421	0.000619071	2722.64
19	0.000619071	0.000729787	2739.95
20	0.000729787	0.000859297	2690.58
21	0.000859297	0.00101079	2516.12
22	0.00101079	0.001188	2176.01
23	0.001188	0.0013953	1735.16
24	0.0013953	0.00163778	1361.14
25	0.00163778	0.00192142	1174.11
26	0.00192142	0.00225321	1187.66
27	0.00225321	0.00264132	1568.96
28	0.00264132	0.00309531	1568.96
29	0.00309531	0.00362637	914.501
30	0.00362637	0.00424758	914.501
31	0.00424758	inf	914.501
