time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.65734e-06	5704.21
1	7.65734e-06	1.66145e-05	5704.21
2	1.66145e-05	2.70922e-05	3694.27
3	2.70922e-05	3.93484e-05	3913.58
4	3.93484e-05	5.36851e-05	2862.48
5	5.36851e-05	7.04555e-05	1987.58
6	7.04555e-05	9.00727e-05	1530.79
7	9.00727e-05	0.00011302	1362.74
8	0.00011302	0.000139862	1328.9
9	0.000139862	0.000171261	1397.91
10	0.000171261	0.00020799	1570.28
11	0.00020799	0.000250954	1833.97
12	0.000250954	0.000301211	2131.14
13	0.000301211	0.000359998	2390.29
14	0.000359998	0.000428765	2579.18
15	0.000428765	0.000509206	2694.07
16	0.000509206	0.000603301	2736.58
17	0.000603301	0.000713368	2717.54
18	0.000713368	0.00084212	2651.94
19	0.00084212	0.000992727	2520.9
20	0.000992727	0.0011689	2260.96
21	0.0011689	0.00137498	1869.56
22	0.00137498	0.00161604	1479.33
23	0.00161604	0.00189802	1225.08
24	0.00189802	0.00222786	1145.14
25	0.00222786	0.0026137	1216.62
26	0.0026137	0.00306503	1380.05
27	0.00306503	0.00359298	1647.55
28	0.00359298	0.00421054	1647.55
29	0.00421054	0.00493294	468.658
30	0.00493294	0.00577796	468.658
31	0.00577796	inf	468.658
